year,population,,,,,,,,,,,,,,,,,,,,,,,,,
2020,"331,449,281",,,,,,,,,,,,,,,,,,,,,,,,,
2010,"308,745,538",,,,,,,,,,,,,,,,,,,,,,,,,
2000,"281,421,906",,,,,,,,,,,,,,,,,,,,,,,,,
1990,"248,709,873",,,,,,,,,,,,,,,,,,,,,,,,,
1980,"226,545,805",,,,,,,,,,,,,,,,,,,,,,,,,
1970,"203,211,926",,,,,,,,,,,,,,,,,,,,,,,,,
1960,"179,323,175",,,,,,,,,,,,,,,,,,,,,,,,,
1950,"151,325,798",,,,,,,,,,,,,,,,,,,,,,,,,
1940,"132,165,129",,,,,,,,,,,,,,,,,,,,,,,,,
1930,"123,202,660",,,,,,,,,,,,,,,,,,,,,,,,,
1920,"106,021,568",,,,,,,,,,,,,,,,,,,,,,,,,
1910,"92,228,531",,,,,,,,,,,,,,,,,,,,,,,,,
